ds,yhat,yhat_lower,yhat_upper
2025-06-16,0.19890205308981945,0.11046277343410305,0.2858129661733452
2025-06-17,0.16109186132408454,0.06968360464025818,0.24299159295178915
2025-06-18,0.2182651893506221,0.12830273289888675,0.31376156883287276
2025-06-19,0.15948645124971916,0.07296738779514096,0.24933340063410336
2025-06-20,0.2342652909719044,0.14376580119847476,0.3250232886745218
2025-06-21,0.13703220300593388,0.05134785014021324,0.23037685923402346
2025-06-22,0.2955701648912661,0.20265378586408278,0.38709202911716895
2025-06-23,0.2415646488307424,0.14976787967867736,0.32620342345715236
2025-06-24,0.20375445707906764,0.1110926157023865,0.29287101353961603
2025-06-25,0.26092778523882754,0.1728995754601916,0.3473687210552374
2025-06-26,0.20214904723548965,0.11759551231440211,0.2903890178671683
2025-06-27,0.2769278870795498,0.1853572347836474,0.3624855446718797
2025-06-28,0.1796947992382708,0.09395856833182316,0.2685481708644336
2025-06-29,0.3382327613012753,0.25270227308977616,0.42823531658351693
2025-06-30,0.28422724545871536,0.1938529189428722,0.3725130285578709
2025-07-01,0.24641705383932938,0.157208979699981,0.3385112457528894
2025-07-02,0.30359038201584576,0.21495252402495255,0.39220254660466347
2025-07-03,0.24481164405623773,0.15413630084551042,0.3384420942939304
2025-07-04,0.31959048394300144,0.23224513932473043,0.40305376062118825
2025-07-05,0.22235739616782457,0.13399114396253706,0.31515059478534657
2025-07-06,0.38089535826676735,0.2976756238987322,0.46058656343037596
2025-07-07,0.32688984242245955,0.24039433616599484,0.4170144963202775
2025-07-08,0.28907965080249987,0.20110540416337563,0.3763946847953149
2025-07-09,0.34625297897930063,0.2608437037990436,0.4351388884089962
2025-07-10,0.2874742410200747,0.1940945337000516,0.3789914797930837
2025-07-11,0.36225308090667296,0.27665175028287614,0.4494398902132983
2025-07-12,0.2650199931312292,0.1768643567933205,0.35494718440386397
2025-07-13,0.4235579552305462,0.33578052093124366,0.5121765831468867
2025-07-14,0.36955243938620363,0.28363379582066683,0.45575696359179996
2025-07-15,0.331742247766485,0.24591255888816604,0.4151849244643455
2025-07-16,0.3889155759430947,0.3016037693571977,0.4733108603415709
2025-07-17,0.33013683798377286,0.24636998444678515,0.4257801225290624
2025-07-18,0.40491567787034455,0.31723710235274577,0.48968159655406934
2025-07-19,0.30768259009514565,0.22276679845303,0.39132146349534785
2025-07-20,0.4662205521938969,0.38486451506226577,0.5512953331431434
2025-07-21,0.41221503634955303,0.3203370321727127,0.4955907532052036
2025-07-22,0.37440484473006286,0.2921837960084671,0.46320230221748965
2025-07-23,0.4315781729064085,0.34796190575386376,0.5204525776850855
2025-07-24,0.3727994349476098,0.28558709077472605,0.4626680830175324
2025-07-25,0.4475782748340161,0.35305725094480006,0.531791747333195
2025-07-26,0.35034518705875617,0.2642558961905408,0.43876359947834087
2025-07-27,0.5088831491578556,0.42444376386032906,0.5955113378102764
2025-07-28,0.45487763331350073,0.3613283486393859,0.5423757844773616
2025-07-29,0.41706744169364063,0.3309854050052549,0.5005071188111173
2025-07-30,0.47424076987088115,0.381915207855385,0.5647439619709667
2025-07-31,0.41546203191103886,0.3399740555093178,0.49862758703530574
2025-08-01,0.49024087179765935,0.40359286797537314,0.5786827368687103
2025-08-02,0.3930077840225196,0.30947251838499357,0.47105762241437377
2025-08-03,0.5515457461218143,0.4612644438355399,0.64225022813182
